userId,movieId,rating
1,1,4.0
1,3,4.0
1,6,4.0
1,47,5.0
1,70,3.0
1,110,4.0
1,235,4.0
1,260,5.0
1,296,3.0
1,316,3.0
1,333,5.0
1,349,4.0
1,356,4.0
1,480,4.0
1,527,5.0
1,590,4.0
1,592,4.0
1,593,4.0
1,608,5.0
1,736,3.0
1,780,3.0
1,1060,4.0
1,1073,5.0
1,1080,5.0
1,1097,5.0
1,1136,5.0
1,1196,5.0
1,1198,5.0
1,1210,5.0
1,1214,4.0
1,1220,5.0
1,1240,5.0
1,1270,5.0
1,1278,5.0
1,1377,3.0
1,1573,5.0
1,1617,5.0
1,1777,4.0
1,1967,4.0
1,2005,5.0
1,2028,4.0
1,2078,5.0
1,2105,4.0
1,2115,5.0
1,2268,4.0
1,2395,5.0
1,2406,4.0
1,2529,5.0
1,2571,5.0
1,2628,4.0
1,2640,4.0
1,2657,3.0
1,2959,5.0
1,3147,5.0
1,3253,5.0
1,3578,5.0
1,3671,5.0
2,318,3.0
2,333,4.0
2,1704,4.5
2,3578,4.0
2,6874,4.0
2,71535,3.0
2,91529,3.5
2,109487,3.0
3,527,0.5
3,914,0.5
3,2105,2.0
3,3949,0.5
4,32,2.0
4,47,2.0
4,235,2.0
4,260,5.0
4,296,1.0
4,345,4.0
4,492,5.0
4,588,4.0
4,593,5.0
4,608,5.0
4,904,4.0
4,908,5.0
4,914,5.0
4,1060,2.0
4,1073,4.0
4,1080,5.0
4,1136,5.0
4,1196,5.0
4,1198,3.0
4,1203,5.0
4,1225,4.0
4,1250,5.0
4,1259,4.0
4,1266,4.0
4,1617,2.0
4,1704,1.0
4,1923,3.0
4,1967,5.0
4,2078,5.0
4,2395,3.0
4,2406,4.0
4,2571,1.0
4,2628,1.0
4,2683,4.0
4,2762,4.0
4,2770,2.0
4,2791,5.0
4,2959,2.0
4,3160,4.0
4,3897,4.0
4,3996,4.0
4,4034,5.0
4,4226,2.0
4,4896,4.0
5,1,4.0
5,34,4.0
5,39,3.0
5,110,4.0
5,150,3.0
5,153,3.0
5,296,5.0
5,300,3.0
5,316,2.0
5,318,3.0
5,349,3.0
5,364,3.0
5,380,2.0
5,410,3.0
5,527,5.0
5,588,4.0
5,589,3.0
5,590,5.0
5,592,3.0
5,597,3.0
5,608,3.0
6,3,5.0
6,6,4.0
6,32,4.0
6,34,4.0
6,47,4.0
6,104,4.0
6,110,5.0
6,150,4.0
6,153,3.0
6,165,3.0
6,185,3.0
6,186,3.0
6,252,4.0
6,292,4.0
6,296,2.0
6,316,5.0
6,318,5.0
6,329,4.0
6,333,5.0
6,343,3.0
6,349,5.0
6,353,4.0
6,356,5.0
6,364,5.0
6,380,4.0
6,410,3.0
6,434,4.0
6,435,3.0
6,454,4.0
6,455,3.0
6,466,2.0
6,480,5.0
6,520,3.0
6,527,3.0
6,587,5.0
6,588,5.0
6,589,3.0
6,590,5.0
6,592,3.0
6,593,4.0
6,597,4.0
6,608,3.0
6,631,4.0
6,736,5.0
6,780,5.0
6,852,4.0
6,1073,3.0
7,1,4.5
7,150,4.5
7,165,4.0
7,260,5.0
7,356,5.0
7,380,3.0
7,466,5.0
7,480,5.0
7,587,2.0
7,588,3.0
7,589,2.5
7,592,3.0
7,593,5.0
7,750,4.0
7,780,4.5
7,924,4.0
7,1196,4.0
7,1210,4.0
7,1220,4.5
7,1240,5.0
7,1246,1.5
7,1270,5.0
7,1584,5.0
7,1617,3.0
7,1682,3.0
7,1784,0.5
7,1923,1.5
7,2529,5.0
7,2628,1.5
7,2640,3.0
7,2671,4.5
7,2683,2.0
7,2762,4.5
7,3114,4.5
7,3578,1.5
7,3623,1.0
7,3916,4.0
7,3977,2.5
7,4306,4.0
7,4896,4.0
7,4963,4.0
7,4995,4.5
7,5349,3.5
7,5378,0.5
7,5445,4.0
7,6365,4.0
7,6539,4.5
7,7153,4.0
7,8783,1.0
7,30816,2.0
7,32587,3.5
7,33493,1.0
7,33836,1.0
7,34048,3.0
7,45517,4.5
7,46530,1.0
8,32,3.0
8,34,5.0
8,39,3.0
8,47,4.0
8,110,3.0
8,150,4.0
8,153,2.0
8,185,5.0
8,186,4.0
8,235,3.0
8,252,3.0
8,292,3.0
8,296,4.0
8,318,5.0
